Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Stephen Strasburg facing 1-2-3
t1,0-0,0,---,5(3-1) BBBTX,O,ATL,Ronald Acuna Jr.,Stephen Strasburg,-3%,47%,Groundout: SS-1B (Deep SS)
t1,0-0,1,---,1(0-0) X,,ATL,Ozzie Albies,Stephen Strasburg,3%,50%,Single to RF (Line Drive to CF-RF)
t1,0-0,1,1--,6(3-2) 1BFB1SB1>X,O,ATL,Freddie Freeman,Stephen Strasburg,-2%,48%,Groundout: SS-1B; Albies to 2B
t1,0-0,2,-2-,2(1-0) *BX,O,ATL,Marcell Ozuna,Stephen Strasburg,-4%,45%,Groundout: 3B-1B (Weak 3B)
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Braves 0 Nationals 0.,0 runs 1 hit 0 errors 1 LOB. Braves 0 Nationals 0.,0 runs 1 hit 0 errors 1 LOB. Braves 0 Nationals 0.
Bottom of the 1st Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 1-2-3,Bottom of the 1st Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 1-2-3,Bottom of the 1st Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 1-2-3,Bottom of the 1st Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 1-2-3,Bottom of the 1st Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 1-2-3,Bottom of the 1st Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 1-2-3,Bottom of the 1st Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 1-2-3,Bottom of the 1st Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 1-2-3,Bottom of the 1st Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 1-2-3,Bottom of the 1st Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 1-2-3,Bottom of the 1st Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 1-2-3,Bottom of the 1st Nationals Batting Tied 0-0 Braves' Huascar Ynoa facing 1-2-3
b1,0-0,0,---,3(0-2) CCX,O,WSN,Victor Robles,Huascar Ynoa,2%,47%,Popfly: SS (Deep SS)
b1,0-0,1,---,4(1-2) CSBX,O,WSN,Trea Turner,Huascar Ynoa,2%,49%,Groundout: SS-1B
b1,0-0,2,---,2(0-1) CX,,WSN,Juan Soto,Huascar Ynoa,-1%,47%,Single to 2B (Ground Ball)
