Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
t7,6-5,0,---,3(1-1) .BCX,,ATL,Ozzie Albies,Wander Suero,2%,86%,Single to RF (Line Drive to Deep RF)
t7,6-5,0,1--,2(0-1) S11X,,ATL,Freddie Freeman,Wander Suero,6%,93%,Single to RF (Ground Ball); Albies to 3B
t7,6-5,0,1-3,2(0-1) FB,R,ATL,Marcell Ozuna,Wander Suero,2%,95%,Wild Pitch; Albies Scores/No RBI; Freeman to 2B
t7,7-5,0,-2-,4(1-2) FB.FB,,ATL,Marcell Ozuna,Wander Suero,1%,96%,Wild Pitch; Freeman to 3B
t7,7-5,0,--3,5(2-2) FB.FB.C,O,ATL,Marcell Ozuna,Wander Suero,-1%,95%,Strikeout Looking
t7,7-5,1,--3,6(2-2) BFSFBX,O,ATL,Travis d'Arnaud,Wander Suero,-2%,93%,Groundout: SS-1B (Weak SS)
t7,7-5,2,--3,5(2-2) BFSBT,O,ATL,Dansby Swanson,Wander Suero,-1%,91%,Strikeout Swinging
,,,,,,,,,1 run 2 hits 0 errors 1 LOB. Braves 7 Nationals 5.,1 run 2 hits 0 errors 1 LOB. Braves 7 Nationals 5.,1 run 2 hits 0 errors 1 LOB. Braves 7 Nationals 5.
Bottom of the 7th Nationals Batting Behind 5-7 Braves' Will Smith facing 3-4-5,Bottom of the 7th Nationals Batting Behind 5-7 Braves' Will Smith facing 3-4-5,Bottom of the 7th Nationals Batting Behind 5-7 Braves' Will Smith facing 3-4-5,Bottom of the 7th Nationals Batting Behind 5-7 Braves' Will Smith facing 3-4-5,Bottom of the 7th Nationals Batting Behind 5-7 Braves' Will Smith facing 3-4-5,Bottom of the 7th Nationals Batting Behind 5-7 Braves' Will Smith facing 3-4-5,Bottom of the 7th Nationals Batting Behind 5-7 Braves' Will Smith facing 3-4-5,Bottom of the 7th Nationals Batting Behind 5-7 Braves' Will Smith facing 3-4-5,Bottom of the 7th Nationals Batting Behind 5-7 Braves' Will Smith facing 3-4-5,Bottom of the 7th Nationals Batting Behind 5-7 Braves' Will Smith facing 3-4-5,Bottom of the 7th Nationals Batting Behind 5-7 Braves' Will Smith facing 3-4-5,Bottom of the 7th Nationals Batting Behind 5-7 Braves' Will Smith facing 3-4-5
,,,,,,,,,Will Smith replaces Marcell Ozuna (LF) pitching and batting 4thEnder Inciarte moves from CF to LF Cristian Pache replaces A.J. Minter (P) playing CF batting 9th,Will Smith replaces Marcell Ozuna (LF) pitching and batting 4thEnder Inciarte moves from CF to LF Cristian Pache replaces A.J. Minter (P) playing CF batting 9th,Will Smith replaces Marcell Ozuna (LF) pitching and batting 4thEnder Inciarte moves from CF to LF Cristian Pache replaces A.J. Minter (P) playing CF batting 9th
b7,5-7,0,---,6(3-2) ...BBBCTB,,WSN,Juan Soto,Will Smith,-9%,82%,Walk
b7,5-7,0,1--,5(1-2) FCBFS,O,WSN,Ryan Zimmerman,Will Smith,8%,90%,Strikeout Swinging
b7,5-7,1,1--,1(0-0) X,R,WSN,Starlin Castro,Will Smith,-17%,72%,Double to LF (Ground Ball); Soto Scores
b7,6-7,1,-2-,5(3-1) SBBBB,,WSN,Luis Garcia,Will Smith,-5%,67%,Walk
b7,6-7,1,12-,4(1-2) FBTX,OO,WSN,Andrew Stevenson,Will Smith,33%,100%,Ground Ball Double Play: P-SS-1B (Weak SS-2B)
,,,,,,,,,1 run 1 hit 0 errors 1 LOB. Braves 7 Nationals 6.,1 run 1 hit 0 errors 1 LOB. Braves 7 Nationals 6.,1 run 1 hit 0 errors 1 LOB. Braves 7 Nationals 6.
